idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
16230,MT - MINI CAMARA INOX CIRF-4000 REFRIMATE,T,1,1,1,Geral,Geral,Geral
16105,MT - PREPAR.ALIM.PRA-200 1/2 CV BECKER,T,1,1,1,Geral,Geral,Geral
16256,MT - PROPILENO GRICAL MEMO,T,1,1,1,Geral,Geral,Geral
16258,MT - VALVULA EXTRATORA 103P INOX MEMO,T,1,1,1,Geral,Geral,Geral
43272,MT- ENGRENAGE Z10 HELICE C/ FLAGE SOLDADA ASRBSV-25NR - VENA,T,1,1,1,Geral,Geral,Geral
40991,MT- EXPOSITOR MISTO - DI SOLLE,F,1,1,1,Geral,Geral,Geral
42121,MT- FRIGIDEIRA LISA REF.0634 C/TAMPA - FUMIL,T,1,1,1,Geral,Geral,Geral
41497,MT- PORTA LATA RETRÔ - ICE PARCK,F,1,1,1,Geral,Geral,Geral
43446,"MT- SERVE COCO 3,5L - ARMON",F,1,1,1,Geral,Geral,Geral
57396,MT=CANIVETE ESPORTIVO (LATÃO) - ETILUX,F,1,1,1,Geral,Geral,Geral
58436,"MT-ACABAMENTO SUPERIOR PARIS CZ 2,10 FECH. SUPERIOR -AHT",F,1,1,1,Geral,Geral,Geral
41148,MT-ACIONADOR SEG INV 118 M2 TRIF C/F - G.PANIZ,F,1,1,1,Geral,Geral,Geral
48242,MT-ADAPTADOR P/BUBO 260MM 5/8 - WTS,F,1,1,1,Geral,Geral,Geral
47378,MT-ADESIVO TESTEIRA VCC-1300 - REFRIMATE,T,1,1,1,Geral,Geral,Geral
60438,MT-AFIADOR ACABAMENTO COMPL. 537365 - SIEMSEN,T,1,1,1,Geral,Geral,Geral
60440,MT-AFIADOR DESBASTE COMPL. 537314 - SIEMSEM,T,1,1,1,Geral,Geral,Geral
45882,MT-AMASSADEIRA RAPIDA MR-05  220V. (14022) GASTROMAQ,T,1,1,1,Geral,Geral,Geral
70184,MT-AMOSTRA GRATIS CONTROL UP,T,1,1,1,Geral,Geral,Geral
46184,MT-ANEL VEDAÇÃO TORNEIRA VENANCIO-VENANCIO,T,1,1,1,Geral,Geral,Geral
44765,MT-APARADOR 30CM NEW PLUS - S.A. GONDOLAS,F,1,1,1,Geral,Geral,Geral
43278,MT-APARADOR FRONTAL ARAMADO 80X1000MM – CRISTAL AÇO,T,1,1,1,Geral,Geral,Geral
50849,MT-AQUECEDOR DE LOUÇAS PRATOS PEL-151- PROGAS,T,1,1,1,Geral,Geral,Geral
42835,MT-ARMARIO P/ PAES EMBALADO APAS-1340 TABACO REFRIMATE,T,1,1,1,Geral,Geral,Geral
39527,MT-ARMARIO SUPER TOP P/PAES MODELO ASTPP-1500 REFRIMATE,T,1,1,1,Geral,Geral,Geral
41274,MT-ARRUELA DE FIBRA NR. 09 REF. 2010099,F,1,1,1,Geral,Geral,Geral
42109,MT-ASSADEIRA BEIRA ALTA REF. 0403 - FUMIL,T,1,1,1,Geral,Geral,Geral
42111,MT-ASSADEIRA BEIRA ALTA REF. 0446 - FUMIL,F,1,1,1,Geral,Geral,Geral
42113,MT-ASSADEIRA BEIRA ALTA REF. 0448 - FUMIL,F,1,1,1,Geral,Geral,Geral
42107,MT-ASSADEIRA RETANGULAR - REF. 0425 - FUMIL,F,1,1,1,Geral,Geral,Geral
42105,MT-ASSADEIRA RETANGULAR REF.0424 - FUMIL,T,1,1,1,Geral,Geral,Geral
37632,MT-BALANCA COMPUTADOR 15KGX5KG DCRB CL REF.1056 - RAMUZA,T,1,1,1,Geral,Geral,Geral
57900,MT-BALANÇA CORPORAL DIG. POPE 28010 - INCOTERM,F,1,1,1,Geral,Geral,Geral
41501,MT-BALDE PARA BEBIDAS E GELO BAR - ICE PARCK,F,1,1,1,Geral,Geral,Geral
41499,MT-BALDE PARA BEBIDAS E GELO RETR^R - ICEPARCK,F,1,1,1,Geral,Geral,Geral
59738,MT-BANCA ARAMADA 80X80X100 - SA.GONDOLAS,T,1,1,1,Geral,Geral,Geral
56973,MT-BANDEJA CLD 300 - ARBEL,T,1,1,1,Geral,Geral,Geral
57492,MT-BANDEJA CONJUNTO INOX PIC-22 SM (10303500) – CAF,F,1,1,1,Geral,Geral,Geral
60726,MT-BANDEJA GELOPAR GCPC-210 - GELOPAR,T,1,1,1,Geral,Geral,Geral
61272,MT-BANDEJA P/ MOEDOR BOCA 8 REF.3105361-MALTA,F,1,1,1,Geral,Geral,Geral
47010,MT-BARRA DE TORCAO PORTA VERTICAL  GELOPAR,F,1,1,1,Geral,Geral,Geral
41422,MT-BOCAL COMP. C/SIST. PIC22 - CAF,T,1,1,1,Geral,Geral,Geral
48054,MT-BORRACHA P/CAMARA FRIA MC-1600 - REFRIMATE,T,1,1,1,Geral,Geral,Geral
54633,MT-BRACO LONGO/CURTO REDUTOR DO AUTOM.-BERMAR,T,1,1,1,Geral,Geral,Geral
42097,"MT-CAÇAROLA OVAL 2,5L. REF. 0777 - FUMIL",T,1,1,1,Geral,Geral,Geral
42099,"MT-CAÇAROLA OVAL 5,0L REF.0779 - FUMIL",T,1,1,1,Geral,Geral,Geral
52530,MT-CADEIRA DOBRAVEL IMBUIA REF.1 - MAPLAN,F,1,1,1,Geral,Geral,Geral
48228,MT-CAIXA BELMONT 55X36X12CM 17 LTS REF.004- BELMOUNT,F,1,1,1,Geral,Geral,Geral
46338,MT-CAIXA TERMICA 70 LITROS TMG-70 - ARMON,T,1,1,1,Geral,Geral,Geral
42119,MT-CALDEIRÃO BOJUDO REF.0290 28 LTS - FUMIL,T,1,1,1,Geral,Geral,Geral
43515,MT-CAMARA P/ 10 ESTEIRAS 58X70 VAZIA IMECA,T,1,1,1,Geral,Geral,Geral
42754,MT-CANECA DE BARRO P/CERVEJA REF.27 - JAYME,F,1,1,1,Geral,Geral,Geral
42134,MT-CANECA GEL TIME DE FUTEBOL - CLARO COMUNICAÇÕES,F,1,1,1,Geral,Geral,Geral
57388,MT-CANIVETE ELETRICISTA CARBONO - ETILUX,F,1,1,1,Geral,Geral,Geral
57390,MT-CANIVETE ENXERTIA S/ESPATULA - ETILUX,F,1,1,1,Geral,Geral,Geral
57394,MT-CANIVETE PICA FUMO CORNETA - ETILUX,F,1,1,1,Geral,Geral,Geral
57392,MT-CANIVETE PODA CORNETA - ETILUX,F,1,1,1,Geral,Geral,Geral
45148,MT-CARREGADOR PARA BALANCA BALMAK 15KG,F,1,1,1,Geral,Geral,Geral
54899,MT-CARRINHO ABASTECEDOR PLATAFORMA 100X60 400KG SORDI,T,1,1,1,Geral,Geral,Geral
57178,MT-CARRINHO BUGGY CAR - CROMA CARRINHOS,T,1,1,1,Geral,Geral,Geral
41136,MT-CARRINHO DE SALGADO WSG - WARM,T,1,1,1,Geral,Geral,Geral
58568,MT-CARRINHO PACOTEIRO 350X4 - SORDI,T,1,1,1,Geral,Geral,Geral
44483,MT-CARRO DETRITOS 80 LITROS - HERGUS INOX,T,1,1,1,Geral,Geral,Geral
43555,MT-CASTANHA ESPREMEDOR DE LARANJA 1/2 LUA PQ.WTS,F,1,1,1,Geral,Geral,Geral
43557,MT-CASTANHA ESPREMEDOR DE LARANJA QUADRADA GRANDE-WTS,F,1,1,1,Geral,Geral,Geral
43622,MT-CENTELHADOR C/ PORCA E ROSCA LONGA -WTS,F,1,1,1,Geral,Geral,Geral
46222,MT-CESTA PARA TALHERES 8 COMPARTIMENTOS CAMBRO-DAYHOME,T,1,1,1,Geral,Geral,Geral
83208,MT-CESTO 400MM EVT E 1250MM BRANCO REFRIMATE,F,1,1,1,Geral,Geral,Geral
43280,MT-CESTO COM CLIP 400X1000X270 – CRISTAL AÇO,T,1,1,1,Geral,Geral,Geral
42115,MT-CHAPA DUPLA FACE ALÇA DE FERRO - FUMIL,T,1,1,1,Geral,Geral,Geral
54635,MT-CHAVE HH 401 KEMA (SOLDADA) - BERMAR,T,1,1,1,Geral,Geral,Geral
44713,"MT-CHECK OUT 2,00M C/ KIT AUTOMAÇAO ESQUERDO - KLIMA",T,1,1,1,Geral,Geral,Geral
67018,MT-CHURRASQUEIRA A CARVAO TCP-400 26500006 - TRAMONTINA,T,1,1,1,Geral,Geral,Geral
63086,MT-CHURRASQUEIRA ARKE EMBUTIR 3 ESPETOS - ARKE,T,1,1,1,Geral,Geral,Geral
67010,MT-CHURRASQUEIRA DOBRAVEL DE INOX C/ GRELHA-GUARINO,F,1,1,1,Geral,Geral,Geral
